Date,Open,High,Low,Close,Adj Close,Volume
1970-02-04,4.542788,4.566244,4.433323,4.542788,0.934170,952818
1970-02-05,4.448961,4.448961,4.323858,4.370772,0.898796,991187
1970-02-06,4.370772,4.425504,4.339496,4.386409,0.902011,334126
1970-02-09,4.386409,4.519331,4.386409,4.386409,0.902011,919246
1970-02-10,4.386409,4.394228,4.316039,4.316039,0.887541,594712
1970-02-11,4.316039,4.433323,4.316039,4.402047,0.905227,575528
1970-02-12,4.386409,4.386409,4.339496,4.378590,0.900404,263784
1970-02-13,4.370772,4.370772,4.269126,4.308220,0.885933,647469
1970-02-16,4.316039,4.370772,4.316039,4.339496,0.892365,642673
1970-02-17,4.316039,4.316039,4.245669,4.292582,0.882717,450830
1970-02-18,4.292582,4.362953,4.292582,4.347315,0.893972,668252
1970-02-19,4.347315,4.394228,4.347315,4.347315,0.893972,684238
1970-02-20,4.347315,4.386409,4.292582,4.292582,0.882717,492396
1970-02-24,4.292582,4.331677,4.284764,4.308220,0.885933,545153
1970-02-25,4.308220,4.370772,4.284764,4.323858,0.889149,554745
1970-02-26,4.323858,4.339496,4.230031,4.300401,0.884325,729002
1970-02-27,4.300401,4.448961,4.300401,4.409866,0.906835,941627
1970-03-02,4.433323,4.519331,4.433323,4.488055,0.922914,545153
1970-03-03,4.488055,4.644433,4.425504,4.628796,0.960558,951219
1970-03-04,4.628796,4.691347,4.628796,4.660071,0.967048,794548
1970-03-05,4.660071,4.714804,4.660071,4.675709,0.970292,705021
1970-03-06,4.675709,4.699166,4.636615,4.652252,0.965425,495593
1970-03-09,4.652252,4.683528,4.574063,4.613158,0.957312,760975
1970-03-10,4.613158,4.628796,4.581882,4.597520,0.954067,394876
1970-03-11,4.597520,4.628796,4.495874,4.495874,0.932974,721008
1970-03-12,4.495874,4.511512,4.456780,4.464598,0.926484,861693
1970-03-13,4.456780,4.456780,4.378590,4.394228,0.911880,666653
1970-03-16,4.394228,4.417685,4.323858,4.323858,0.897278,764173
1970-03-17,4.323858,4.409866,4.316039,4.394228,0.911880,529166
1970-03-18,4.394228,4.409866,4.370772,4.394228,0.911880,418856
1970-03-19,4.394228,4.425504,4.370772,4.386409,0.910259,501988
1970-03-20,4.386409,4.386409,4.355134,4.370772,0.907012,581922
1970-03-23,4.370772,4.448961,4.362953,4.433323,0.919993,679442
1970-03-24,4.448961,4.527150,4.448961,4.488055,0.931351,751383
1970-03-25,4.527150,4.746079,4.527150,4.620977,0.958935,1381266
1970-03-26,4.620977,4.730441,4.613158,4.636615,0.962180,1405247
1970-03-30,4.628796,4.628796,4.566244,4.597520,0.954067,501988
1970-03-31,4.597520,4.628796,4.574063,4.613158,0.957312,501988
1970-04-01,4.620977,4.683528,4.620977,4.660071,0.967048,844107
1970-04-02,4.660071,4.675709,4.620977,4.660071,0.967048,457225
1970-04-03,4.660071,4.691347,4.644433,4.644433,0.963802,633080
